product_name,product_id,color,pe,produc_type,product_style,department,category,department_id,price
Nike Metcon 6 AMP,fw1001,699,FTW,Nike Metcon 6 AMP Training Shoe,Nike Metcon 6 AMP,Training Shoe,Training,1,$190 
Nike SuperRep Go 2,fw1002,002,FTW,Nike SuperRep Go 2 Men's Training Shoe,Nike SuperRep Go 2,Men's Training Shoe,Men's,2,$200 
Nike Savaleos,fw1003,372,FTW,Nike Savaleos Weightlifting Shoe,Nike Savaleos,Weightlifting Shoe,Training,1,$150 
Training Shoe Finder,fw1004,878,FTW,Training Shoe Finder,Learn More,Nike Free Metcon 4,Training,1,$170 
Nike Romaleos 4,fw1005,132,FTW,Nike Romaleos 4 Training Shoe,Nike Romaleos 4,Training Shoe,Training,1,$170 
Nike React Metcon Turbo,fw1006,639,FTW,Nike React Metcon Turbo Training Shoe,Nike React Metcon Turbo,Training Shoe,Training,1,$270 
Nike Metcon 6 AMP,fw1007,140,FTW,Nike Metcon 6 AMP Training Shoe,Nike Metcon 6 AMP,Training Shoe,Training,1,$220 
Nike Legend Essential 2,fw1008,910,FTW,Nike Legend Essential 2 Men's Training Shoe,Nike Legend Essential 2,Men's Training Shoe,Training,1,$200 
Nike Air Zoom SuperRep 2 Men's HIIT Class Shoe,fw1009,836,FTW,Nike Air Zoom SuperRep 2,Men's HIIT Class Shoe,,Men's,2,$200 
Nike Metcon 6,fw1010,467,FTW,Nike Metcon 6 Training Shoe,Nike Metcon 6,Training Shoe,Training,1,$170 
Nike SuperRep Cycle,fw1011,594,FTW,Nike SuperRep Cycle Men's Indoor Cycling Shoe,Nike SuperRep Cycle,Men's Indoor Cycling Shoe,Men's,2,$190 
Nike ZoomX SuperRep Surge,fw1012,942,FTW,Nike ZoomX SuperRep Surge Men's Endurance Class Shoe,Nike ZoomX SuperRep Surge,Men's Endurance Class Shoe,Men's,2,$170 
Nike Metcon 6 By You,fw1013,327,FTW,Nike Metcon 6 By You Custom Training Shoe,Nike Metcon 6 By You,Custom Training Shoe,Training,1,$200 
Nike Free Metcon 4,fw1014,887,FTW,Nike Free Metcon 4 Training Shoe,Nike Free Metcon 4,Training Shoe,Training,1,$220 
Nike Metcon 6 Premium,fw1015,621,FTW,Nike Metcon 6 Premium Training Shoe,Nike Metcon 6 Premium,Training Shoe,Training,1,$170 
Nike MC Trainer,fw1016,902,FTW,Nike MC Trainer Men's Training Shoe,Nike MC Trainer,Men's Training Shoe,Men's,2,$200 
Nike Metcon 6,fw1017,989,FTW,Nike Metcon 6 Men's Training Shoe,Nike Metcon 6,Men's Training Shoe,Men's,2,$100 
Nike SpeedRep,fw1018,131,FTW,Nike SpeedRep Men's Training Shoe,Nike SpeedRep,Men's Training Shoe,Men's,2,$190 
Nike Air Max Alpha Trainer 4,fw1019,725,FTW,Nike Air Max Alpha Trainer 4 Men's Training Shoe,Nike Air Max Alpha Trainer 4,Men's Training Shoe,Men's,2,$130 
Nike Air Zoom SuperRep 2 Premium,fw1020,153,FTW,Nike Air Zoom SuperRep 2 Premium HIIT Class Shoe,Nike Air Zoom SuperRep 2 Premium,HIIT Class Shoe,Training,1,$130 
Nike Metcon 6 By You,fw1021,313,FTW,Nike Metcon 6 By You Custom Training Shoe,Nike Metcon 6 By You,Custom Training Shoe,Training,1,$190 
Nike ZoomX SuperRep Surge,fw1022,776,FTW,Nike ZoomX SuperRep Surge Men's Endurance Class Shoe,Nike ZoomX SuperRep Surge,Men's Endurance Class Shoe,Men's,2,$220 
Nike SuperRep Go 2,fw1023,946,FTW,Nike SuperRep Go 2 Men's Training Shoe,Nike SuperRep Go 2,Men's Training Shoe,Men's,2,$200 
Nike Free Metcon 4,fw1024,719,FTW,Nike Free Metcon 4 Training Shoe,Nike Free Metcon 4,Training Shoe,Training,1,$150 
Nike Air Zoom SuperRep 2,fw1025,631,FTW,Nike Air Zoom SuperRep 2 Men's HIIT Class Shoe,Nike Air Zoom SuperRep 2,Men's HIIT Class Shoe,Men's,2,$170 
Nike Metcon 6,fw1026,367,FTW,Nike Metcon 6 Training Shoe,Nike Metcon 6,Training Shoe,Training,1,$170 
Nike Air Monarch IV,fw1027,048,FTW,Nike Air Monarch IV Men's Training Shoe,Nike Air Monarch IV,Men's Training Shoe,Men's,2,$190 
Nike Air Monarch IV,fw1028,404,FTW,Related Categories,Metcon Shoes,Men's Dri-FIT Training & Gym Shorts,Men's,2,$80.99 
Nike SB Zoom Blazer Mid Premium Skate Shoe,fw1029,941,FTW,Nike SB Zoom Blazer Mid Premium,Skate Shoe,,Training,1,$170 
Nike SB BLZR Court,fw1030,832,FTW,Nike SB BLZR Court Skate Shoe,Nike SB BLZR Court,Skate Shoe,Training,1,$170 
Nike SB Zoom Blazer Low Pro GT,fw1031,323,FTW,Nike SB Zoom Blazer Low Pro GT Skate Shoe,Nike SB Zoom Blazer Low Pro GT,Skate Shoe,Training,1,$100 
Nike SB Air Zoom Janoski RM By You,fw1032,788,FTW,Nike SB Air Zoom Janoski RM By You Custom Skate Shoe,Nike SB Air Zoom Janoski RM By You,Custom Skate Shoe,Training,1,$120 
Nike SB Zoom Blazer Mid Edge,fw1033,407,FTW,Nike SB Zoom Blazer Mid Edge Skate Shoe,Nike SB Zoom Blazer Mid Edge,Skate Shoe,Training,1,$160 
Nike SB Zoom Stefan Janoski RM,fw1034,191,FTW,Nike SB Zoom Stefan Janoski RM Skate Shoe,Nike SB Zoom Stefan Janoski RM,Skate Shoe,Training,1,$150 
Nike SB Charge Canvas,fw1035,525,FTW,Nike SB Charge Canvas Skate Shoe,Nike SB Charge Canvas,Skate Shoe,Training,1,$130 
Nike SB Air Zoom Janoski RM By You Custom Skate Shoe,fw1036,610,FTW,Nike SB Air Zoom Janoski RM By You,Custom Skate Shoe,,Men's,2,$160 
Nike SB Chron Solarsoft,fw1037,979,FTW,Nike SB Chron Solarsoft Skate Shoe,Nike SB Chron Solarsoft,Skate Shoe,Training,1,$160 
Nike SB Dunk Low Pro,fw1038,480,FTW,Nike SB Dunk Low Pro Skate Shoe,Launching in SNEAKRS,Nike SB Dunk Low Pro,Training,1,$105 
Nike SB BLZR Court DVDL,fw1039,469,FTW,Nike SB BLZR Court DVDL Skate Shoe,Nike SB BLZR Court DVDL,Skate Shoe,Training,1,$220 
Nike SB Zoom Blazer Mid,fw1040,605,FTW,Nike SB Zoom Blazer Mid Skate Shoe,Nike SB Zoom Blazer Mid,Skate Shoe,Training,1,$120 
Nike SB Zoom Stefan Janoski FL RM,fw1041,392,FTW,Nike SB Zoom Stefan Janoski FL RM Skate Shoe,Nike SB Zoom Stefan Janoski FL RM,Skate Shoe,Training,1,$120 
Nike SB Shane,fw1042,589,FTW,Nike SB Shane Skate Shoe,Nike SB Shane,Skate Shoe,Training,1,$140 
Nike SB Zoom Verona Slip,fw1043,532,FTW,Nike SB Zoom Verona Slip Skate Shoe,Nike SB Zoom Verona Slip,Skate Shoe,Training,1,$115 
Nike SB Heritage Vulc,fw1044,416,FTW,Nike SB Heritage Vulc Skate Shoe,Nike SB Heritage Vulc,Skate Shoe,Training,1,$120 
Nike SB Bruin React,fw1045,619,FTW,Nike SB Bruin React Skate Shoe,Nike SB Bruin React,Skate Shoe,Training,1,$110 
Nike Sportswear,fw1046,042,FTW,Nike Air Zoom Pegasus 38 FlyEase Women's Running Shoe,Nike Air Zoom Pegasus 38 FlyEase,Women's Running Shoe,Women's,3,$94.99 
Nike Air Zoom Pegasus 38 FlyEase,fw1047,884,FTW,Nike Air Zoom Pegasus 38 FlyEase Women's Running Shoe,Nike Air Zoom Pegasus 38 FlyEase,Women's Running Shoe,Women's,3,$180 
Nike Pegasus Trail 3,fw1048,244,FTW,Nike Pegasus Trail 3 Women's Trail Running Shoe,Nike Pegasus Trail 3,Women's Trail Running Shoe,Women's,3,$180 
Nike Air Zoom Terra Kiger 7,fw1049,008,FTW,Nike Air Zoom Terra Kiger 7 Women's Trail Running Shoe,Nike Air Zoom Terra Kiger 7,Women's Trail Running Shoe,Women's,3,$190 
Nike Wildhorse 7,fw1050,184,FTW,Nike Wildhorse 7 Women's Trail Running Shoe,Nike Wildhorse 7,Women's Trail Running Shoe,Women's,3,$200 
Nike ZoomX Vaporfly Next% 2,fw1051,912,FTW,Nike ZoomX Vaporfly Next% 2 Women's Racing Shoe,Nike ZoomX Vaporfly Next% 2,Women's Racing Shoe,Women's,3,$170 
Nike Air Zoom Alphafly NEXT%,acc1001,695,EQP,Nike Air Zoom Alphafly NEXT% Women's Racing Shoe,Nike Air Zoom Alphafly NEXT%,Women's Racing Shoe,Women's,3,$310 
Nike ZoomX Invincible Run Flyknit,acc1002,645,EQP,Nike ZoomX Invincible Run Flyknit Women's Running Shoe,Nike ZoomX Invincible Run Flyknit,Women's Running Shoe,Women's,3,$370 
Nike React Infinity Run Flyknit 2,acc1003,785,EQP,Nike React Infinity Run Flyknit 2 Women's Running Shoe,Nike React Infinity Run Flyknit 2,Women's Running Shoe,Women's,3,$250 
Nike Revolution 5 PRM,acc1004,284,EQP,Nike Revolution 5 PRM Women's Running Shoe,Nike Revolution 5 PRM,Women's Running Shoe,Women's,3,$240 
Nike Air Zoom Vomero 15,acc1005,608,EQP,Nike Air Zoom Vomero 15 Women's Running Shoe,Nike Air Zoom Vomero 15,Women's Running Shoe,Women's,3,$110 
Nike ZoomX Vaporfly NEXT%,acc1006,401,EQP,Nike ZoomX Vaporfly NEXT% Running Shoe,Nike ZoomX Vaporfly NEXT%,Running Shoe,Men's,2,$230 
Nike Revolution 5,acc1007,755,EQP,Nike Revolution 5 Women's Running Shoe,Nike Revolution 5,Women's Running Shoe,Women's,3,$320 
Nike ZoomX Vaporfly NEXT%,acc1008,856,EQP,Nike ZoomX Vaporfly NEXT% Running Shoe,Nike ZoomX Vaporfly NEXT%,Running Shoe,Men's,2,$100 
Nike Downshifter 10,acc1009,360,EQP,Nike Downshifter 10 Women's Running Shoe,Nike Downshifter 10,Women's Running Shoe,Women's,3,$320 
Nike Downshifter 11,acc1010,754,EQP,Nike Downshifter 11 Women's Running Shoe,Nike Downshifter 11,Women's Running Shoe,Women's,3,$100 
Nike React Infinity Run Flyknit 2,acc1011,561,EQP,Nike React Infinity Run Flyknit 2 Women's Running Shoe,Nike React Infinity Run Flyknit 2,Women's Running Shoe,Women's,3,$100 
Nike Flex Experience Run 10,acc1012,767,EQP,Nike Flex Experience Run 10 Women's Running Shoe,Nike Flex Experience Run 10,Women's Running Shoe,Women's,3,$230 
Nike React Infinity Run Flyknit,acc1013,905,EQP,Nike React Infinity Run Flyknit Women's Running Shoe,Nike React Infinity Run Flyknit,Women's Running Shoe,Women's,3,$100 
Nike Renew Run 2,acc1014,416,EQP,Nike Renew Run 2 Women's Running Shoe,Nike Renew Run 2,Women's Running Shoe,Women's,3,$230 
Nike React Escape Run,acc1015,661,EQP,Nike React Escape Run Women's Running Shoe,Nike React Escape Run,Women's Running Shoe,Women's,3,$130 
Nike React Miler 2 By You,acc1016,715,EQP,Nike React Miler 2 By You Custom Running Shoe,Nike React Miler 2 By You,Custom Running Shoe,Men's,2,$150 
Nike React Miler 2,acc1017,585,EQP,Nike React Miler 2 Women's Road Running Shoe,Nike React Miler 2,Women's Road Running Shoe,Women's,3,$220 
Nike Air Zoom Pegasus 38 By You,acc1018,766,EQP,Nike Air Zoom Pegasus 38 By You Custom Running Shoe,Nike Air Zoom Pegasus 38 By You,Custom Running Shoe,Men's,2,$190 
Nike Revolution 5,acc1019,960,EQP,Nike Revolution 5 Women's Running Shoe,Nike Revolution 5,Women's Running Shoe,Women's,3,$200 
Nike React Infinity Run Flyknit 2 By You,acc1020,883,EQP,Nike React Infinity Run Flyknit 2 By You Custom Running Shoe,Nike React Infinity Run Flyknit 2 By You,Custom Running Shoe,Men's,2,$100 
Nike React Escape Run,acc1021,359,EQP,Nike React Escape Run Women's Running Shoe,Nike React Escape Run,Women's Running Shoe,Women's,3,$250 
Nike Quest 3,acc1022,012,EQP,Nike Quest 3 Women's Running Shoe,Nike Quest 3,Women's Running Shoe,Women's,3,$150 
Nike Pegasus Trail 2,acc1023,706,EQP,Nike Pegasus Trail 2 Women's Trail Running Shoe,Nike Pegasus Trail 2,Women's Trail Running Shoe,Women's,3,$110 
Nike Zoom Rival S 9,acc1024,052,EQP,Nike Zoom Rival S 9 Racing Spike,Nike Zoom Rival S 9,Racing Spike,Men's,2,$190 
Nike Air Zoom Pegasus 37,acc1025,742,EQP,Nike Air Zoom Pegasus 37 Women's Running Shoe,Nike Air Zoom Pegasus 37,Women's Running Shoe,Women's,3,$100 
Nike Air Zoom Tempo NEXT%,acc1026,399,EQP,Nike Air Zoom Tempo NEXT% Women's Running Shoe,Nike Air Zoom Tempo NEXT%,Women's Running Shoe,Women's,3,$180 
Nike Renew Run,acc1027,105,EQP,Nike Renew Run Women's Running Shoe,Nike Renew Run,Women's Running Shoe,Women's,3,$270 
Nike Downshifter 9,acc1028,518,EQP,Nike Downshifter 9 Women's Running Shoe,Nike Downshifter 9,Women's Running Shoe,Women's,3,$120 
Nike Internationalist By You,acc1029,782,EQP,Nike Internationalist By You Custom Women's Shoe,Nike Internationalist By You,Custom Women's Shoe,Men's,2,$100 
Nike Air Zoom Alphafly NEXT% Eliud,acc1030,446,EQP,Nike Air Zoom Alphafly NEXT% Eliud Women's Racing Shoe,Nike Air Zoom Alphafly NEXT% Eliud,Women's Racing Shoe,Women's,3,$170 
Nike Downshifter 10,acc1031,583,EQP,Nike Downshifter 10 Women's Running Shoe,Nike Downshifter 10,Women's Running Shoe,Women's,3,$370 
Nike Revolution 4,acc1032,566,EQP,Nike Revolution 4 Women's Running Shoe,Nike Revolution 4,Women's Running Shoe,Women's,3,$100 
Nike Air Zoom Tempo NEXT% FlyEase,acc1033,884,EQP,Nike Air Zoom Tempo NEXT% FlyEase Women's Running Shoe,Nike Air Zoom Tempo NEXT% FlyEase,Women's Running Shoe,Women's,3,$100 
Nike Zoom Rival D 10,acc1034,060,EQP,Nike Zoom Rival D 10 Unisex Track Spike,Nike Zoom Rival D 10,Unisex Track Spike,Training,1,$270 
Nike Quest 3 Premium,acc1035,387,EQP,Nike Quest 3 Premium Women's Running Shoe,Nike Quest 3 Premium,Women's Running Shoe,Women's,3,$100 
Nike Juniper Trail,acc1036,829,EQP,Nike Juniper Trail Women's Trail Shoe,Nike Juniper Trail,Women's Trail Shoe,Women's,3,$120 
Nike Air Zoom Structure 23,acc1037,772,EQP,Nike Air Zoom Structure 23 Women's Running Shoe,Nike Air Zoom Structure 23,Women's Running Shoe,Women's,3,$120 
Nike React Miler,acc1038,034,EQP,Nike React Miler Women's Running Shoe,Nike React Miler,Women's Running Shoe,Women's,3,$200 
Nike Flex RN 2018,acc1039,537,EQP,Nike Flex RN 2018 Women's Running Shoe,Nike Flex RN 2018,Women's Running Shoe,Women's,3,$190 
Nike Sportswear,acc1040,986,EQP,Nike Todos RN,Nike Todos RN Women's Shoe,Nike Todos RN,Training,1,$84.99 
Nike React Miler Shield,acc1041,323,EQP,Nike React Miler Shield Women's Running Shoe,Nike React Miler Shield,Women's Running Shoe,Women's,3,$72.99 
Nike Sportswear,acc1042,452,EQP,Nike Epic React Flyknit 2,Nike Epic React Flyknit 2 Women's Running Shoe,Nike Epic React Flyknit 2,Men's,2,$147.99 
Nike One,acc1043,698,EQP,Nike Zoom Matumbo 3,Nike Zoom Matumbo 3 Racing Spike,Nike Zoom Matumbo 3,Men's,2,$154.99 
Nike Sportswear,acc1044,856,EQP,Nike Quest 2,Nike Quest 2 Women's Running Shoe,Nike Quest 2,Men's,2,$154.99 
Nike Dri-FIT One,acc1045,693,EQP,Nike Flex Experience Run 9,Nike Flex Experience Run 9 Women's Running Shoe,Nike Flex Experience Run 9,Men's,2,$77.99 
Gear to Boost Your Routine,acc1046,767,EQP,Related Categories,,,Men's,2,$80.99 
Nike Sportswear,acc1047,837,EQP,Nike Sportswear Women's 1/4-Zip Fleece,Nike Sportswear,Women's 1/4-Zip Fleece,Men's,2,$190 
Nike One,acc1048,120,EQP,Nike One Women's Mid-Rise Crop Leggings,Sustainable Materials,Nike One,Training,1,$190 
Nike Sportswear,acc1049,047,EQP,Nike Sportswear Women's Fleece Hoodie,Nike Sportswear,Women's Fleece Hoodie,Women's,3,$84.99 
Nike Dri-FIT One,acc1050,772,EQP,Nike Dri-FIT One Women's Mid-Rise Leggings,Sustainable Materials,Nike Dri-FIT One,Men's,2,$72.99 
Gear to Boost Your Routine,acc1051,526,EQP,Gear to Boost Your Routine,Shop,Nike Sportswear Essential,Men's,2,$147.99 
Nike One Icon Clash,acc1052,133,EQP,Nike One Icon Clash Women's Mid-Rise 7/8 Graphic Leggings,Sustainable Materials,Nike One Icon Clash,Men's,2,$154.99 
Nike Swoosh Run,acc1053,583,EQP,Nike Swoosh Run Women's Mid-Rise 7/8 Running Leggings,Sustainable Materials,Nike Swoosh Run,Men's,2,$154.99 
Nike Air Epic Fast,acc1054,631,EQP,Nike Air Epic Fast Women's High-Rise 7/8 Printed Running Leggings,Sustainable Materials,Nike Air Epic Fast,Men's,2,$77.99 
Nike Air,acc1055,949,EQP,Nike Air Women's High-Waisted Leggings,Nike Air,Women's High-Waisted Leggings,Men's,2,$80.99 
Nike Pro,acc1056,440,EQP,Nike Pro Women's Mid-Rise Leggings,Sustainable Materials,Nike Pro,Men's,2,$190 
Nike Pro 365,acc1057,738,EQP,Nike Pro 365 Women's High-Rise 7/8 Leggings,Sustainable Materials,Nike Pro 365,Men's,2,$84.99 
Paris Saint-Germain Strike,acc1058,091,EQP,Paris Saint-Germain Strike Women's Nike Dri-FIT Football Drill Top,Paris Saint-Germain Strike,Women's Nike Dri-FIT Football Drill Top,Women's,3,$72.99 
Paris Saint-Germain Strike,acc1059,094,EQP,Paris Saint-Germain Strike Women's Nike Dri-FIT Football Shorts,Paris Saint-Germain Strike,Women's Nike Dri-FIT Football Shorts,Women's,3,$147.99 
Paris Saint-Germain 2021/22 Stadium Home,acc1060,121,EQP,Paris Saint-Germain 2021/22 Stadium Home Over-the-Calf Football Socks,Paris Saint-Germain 2021/22 Stadium Home,Over-the-Calf Football Socks,Women's,3,$154.99 
Paris Saint-Germain Strike,acc1061,418,EQP,Paris Saint-Germain Strike Women's Nike Dri-FIT Short-Sleeve Football Top,Paris Saint-Germain Strike,Women's Nike Dri-FIT Short-Sleeve Football Top,Women's,3,$154.99 
Paris Saint-Germain Strike,acc1062,421,EQP,Paris Saint-Germain Strike Women's Nike Dri-FIT Football Pants,Paris Saint-Germain Strike,Women's Nike Dri-FIT Football Pants,Women's,3,$77.99 
Chelsea F.C.,acc1063,881,EQP,Chelsea F.C. Women's Football Jacket,Chelsea F.C.,Women's Football Jacket,Women's,3,$80.99 
Liverpool F.C. 2021/22 Stadium Home,acc1064,503,EQP,Liverpool F.C. 2021/22 Stadium Home Over-the-Calf Football Socks,Liverpool F.C. 2021/22 Stadium Home,Over-the-Calf Football Socks,Women's,3,$125 
Liverpool F.C. 2021/22 Stadium Home Women's Football Shirt,acc1065,217,EQP,Liverpool F.C. 2021/22 Stadium Home,Women's Football Shirt,,Women's,3,$125 
NOCTA Cardinal Stock,acc1066,258,EQP,NOCTA Cardinal Stock Cap,Available in SNEAKRS,NOCTA Cardinal Stock,Women's,3,$125 
Nike x MMW Bodysuit,app1001,201,APP,Nike x MMW,Bodysuit,,Training,1,$125 
Nike x MMW,app1002,364,APP,Nike x MMW 3-In-1 Top,Nike x MMW,3-In-1 Top,Training,1,$290 
Nike x MMW,app1003,564,APP,Nike x MMW Mid-Rise Leggings,Nike x MMW,Mid-Rise Leggings,Training,1,$260 
Nike One Femme,app1004,114,APP,"Nike One Femme Women's 7"" (18cm approx.) Shorts",Nike One Femme,"Women's 7"" (18cm approx.) Shorts",Women's,3,$160 
Nike Femme Elastika,app1005,417,APP,Nike Femme Elastika Women's Training Tank,Nike Femme Elastika,Women's Training Tank,Women's,3,$125 
Nike Sportswear Femme,app1006,309,APP,Nike Sportswear Femme Women's Dress,Nike Sportswear Femme,Women's Dress,Women's,3,$125 
Nike Sportswear Femme,app1007,428,APP,Nike Sportswear Femme Women's Dress,Nike Sportswear Femme,Women's Dress,Women's,3,$290 
Nike Sportswear Femme,app1008,025,APP,Nike Sportswear Femme Women's Dress (Plus size),Extended Sizes,Nike Sportswear Femme,Men's,2,$260 
Nike Sportswear Femme,app1009,143,APP,Nike Sportswear Femme Women's 1/4-Zip,Nike Sportswear Femme,Women's 1/4-Zip,Men's,2,$160 
Nike Sportswear Femme,app1010,994,APP,Nike Sportswear Femme Women's Jacket,Sustainable Materials,Nike Sportswear Femme,Men's,2,$115 
Nike Sportswear,app1011,113,APP,Nike Sportswear Women's Short-Sleeve Top,Nike Sportswear,Women's Short-Sleeve Top,Women's,3,$115 
Nike Sportswear Femme,app1012,870,APP,Nike Sportswear Femme Women's Shorts,Sustainable Materials,Nike Sportswear Femme,Men's,2,$125 
NikeCourt Dri-FIT ADV Slam,app1013,863,APP,NikeCourt Dri-FIT ADV Slam Women's Tennis Skirt,NikeCourt Dri-FIT ADV Slam,Women's Tennis Skirt,Women's,3,$125 
NikeCourt Dri-FIT,app1014,373,APP,NikeCourt Dri-FIT Women's Tennis T-Shirt,NikeCourt Dri-FIT,Women's Tennis T-Shirt,Women's,3,$290 
NikeCourt Dri-FIT ADV Slam,app1015,471,APP,NikeCourt Dri-FIT ADV Slam Women's Tennis Dress,Sustainable Materials,NikeCourt Dri-FIT ADV Slam,Training,1,$260 
Nike Pro,app1016,152,APP,Nike Pro,Nike Pro Women's Tank,Nike Pro,Training,1,$160 
NikeCourt Dri-FIT ADV Slam,app1017,118,APP,NikeCourt Dri-FIT ADV Slam Women's Tennis Tank,Sustainable Materials,NikeCourt Dri-FIT ADV Slam,Training,1,$125 
NikeCourt Multiplier Max,app1018,659,APP,NikeCourt Multiplier Max Tennis Crew Socks (2 Pairs),NikeCourt Multiplier Max,Tennis Crew Socks (2 Pairs),Training,1,$125 
Nike Pro,app1019,660,APP,Nike Pro Women's High-Waisted 7/8 Leggings,Nike Pro,Women's High-Waisted 7/8 Leggings,Women's,3,$290 
Paris Saint-Germain,app1020,935,APP,Paris Saint-Germain Women's Solid Short-Sleeve Top,Paris Saint-Germain,Women's Solid Short-Sleeve Top,Women's,3,$260 
Paris Saint-Germain,app1021,969,APP,Paris Saint-Germain Women's Woven Shorts,Paris Saint-Germain,Women's Woven Shorts,Women's,3,$160 
Paris Saint-Germain,app1022,488,APP,Paris Saint-Germain Women's Woven Jacket,Paris Saint-Germain,Women's Woven Jacket,Women's,3,$115 
Paris Saint-Germain,app1023,782,APP,Paris Saint-Germain,Paris Saint-Germain Women's Short-Sleeve Printed Top,Paris Saint-Germain,Men's,2,$115 
Paris Saint-Germain,app1024,670,APP,Paris Saint-Germain Women's Printed Shorts,Paris Saint-Germain,Women's Printed Shorts,Women's,3,$115 
Paris Saint-Germain Home,app1025,422,APP,Paris Saint-Germain Home Women's Pre-Match Short-Sleeve Football Top,Paris Saint-Germain Home,Women's Pre-Match Short-Sleeve Football Top,Women's,3,$115 
Paris Saint-Germain 2021/22 Stadium Home,app1026,866,APP,Paris Saint-Germain 2021/22 Stadium Home Women's Football Shirt,Sustainable Materials,Paris Saint-Germain 2021/22 Stadium Home,Training,1,$115 
Paris Saint-Germain 2021/22 Match Home,app1027,172,APP,Paris Saint-Germain 2021/22 Match Home Women's Nike Dri-FIT ADV Football Shirt,Sustainable Materials,Paris Saint-Germain 2021/22 Match Home,Training,1,$105 
Paris Saint-Germain,app1028,673,APP,Paris Saint-Germain Women's Anthem Jacket,Paris Saint-Germain,Women's Anthem Jacket,Women's,3,$170 
Chelsea F.C. 2021/22 Stadium Home,app1029,393,APP,Chelsea F.C. 2021/22 Stadium Home Women's Football Shirt,Sustainable Materials,Chelsea F.C. 2021/22 Stadium Home,Training,1,$165 
Chelsea F.C. 2021/22 Stadium Home,app1030,865,APP,Chelsea F.C. 2021/22 Stadium Home Over-the-Calf Football Socks,Chelsea F.C. 2021/22 Stadium Home,Over-the-Calf Football Socks,Training,1,$105 
Nike Sportswear,app1031,601,APP,Nike Sportswear Women's Hoodie,Nike Sportswear,Women's Hoodie,Women's,3,$125 
Nike F.C. Germany,app1032,706,APP,Nike F.C. Germany Women's Full-Zip Football Jacket,Nike F.C. Germany,Women's Full-Zip Football Jacket,Women's,3,$290 
Nike F.C. Germany,app1033,779,APP,Nike F.C. Germany Women's Football Shorts,Nike F.C. Germany,Women's Football Shorts,Women's,3,$260 
Nike F.C. Away Germany,app1034,277,APP,Nike F.C. Away Germany Football Shirt,Nike F.C. Away Germany,Football Shirt,Training,1,$160 
Nike Sportswear,app1035,395,APP,Nike Sportswear Women's Trousers,Nike Sportswear,Women's Trousers,Women's,3,$125 
Nike F.C. SNEAKR Sox Germany,app1036,467,APP,Nike F.C. SNEAKR Sox Germany Graphic Football Crew Socks,Nike F.C. SNEAKR Sox Germany,Graphic Football Crew Socks,Men's,2,$125 
Naomi Osaka,app1037,739,APP,Naomi Osaka Women's Tennis Dress,Naomi Osaka,Women's Tennis Dress,Women's,3,$290 
NikeLab,app1038,343,APP,Nike F.C. Home Germany,Nike F.C. Home Germany Football Shirt,Nike F.C. Home Germany,Men's,2,$260 
NikeCourt Victory,app1039,763,APP,NikeCourt Victory Women's Tennis Tank,Sustainable Materials,NikeCourt Victory,Training,1,$160 
Nike Yoga,app1040,634,APP,Nike Yoga Women's High-Waisted Crop Gingham Leggings,Sustainable Materials,Nike Yoga,Training,1,$115 
NikeLab,app1041,127,APP,NikeLab Women's Fleece Pants,NikeLab,Women's Fleece Pants,Women's,3,$115 
NikeLab,app1042,029,APP,Nike Dri-FIT Indy,Nike Dri-FIT Indy Women's Light-Support Padded V-Neck Sports Bra,Sustainable Materials,Men's,2,$125 
Paris Saint-Germain Strike Elite Home,app1043,648,APP,Paris Saint-Germain Strike Elite Home Women's Nike Dri-FIT ADV Football Drill Top,Paris Saint-Germain Strike Elite Home,Women's Nike Dri-FIT ADV Football Drill Top,Women's,3,$125 
NikeCourt Victory,app1044,553,APP,Nike One Luxe,Nike One Luxe Women's Mid-Rise Ribbed Leggings,Nike One Luxe,Men's,2,$290 
